feature,rf_any,rf_type1,rf_type2
val_rmse,0.16721005247104967,0.1065724293516403,0.19525250097001584
mono_rate,0.12581398311019362,0.0004182839139294819,0.12186675181780407
max_jump,0.12083976104772848,0.004637265025313105,0.1207795520619228
mono_violations,0.10223552937275407,0.0005173922340859715,0.12498516258078038
mean_abs_diff,0.07136452894326074,0.010829250655935287,0.06081811287297468
slope,0.048344579767622985,0.0832259795113179,0.05630067471540395
slope_dev,0.04130009639482085,0.12043964510111066,0.037026787314855224
slope_consistency,0.03347012213403199,0.028918908177094763,0.021361062926766504
max_abs_div,0.03183787508246899,0.05199450664123627,0.009423764352073077
mean_ma_dev,0.02967678473889293,0.13933756462281138,0.041638149394488
final_pred,0.028192921377675192,0.08928769364021616,0.029560417306633644
mean_abs_div,0.024793226896367787,0.14567690348915152,0.014813921991458992
val_rmse_zscore,0.022799944711986472,0.02668270079048593,0.02841043186484121
gap_zscore,0.01965747864285099,0.00469248079336697,0.012876110381037214
late_div,0.018966691322568275,0.08663561675360255,0.02408306348690954
mean_rolling_var,0.018209611572694028,0.05416640579152742,0.01890313544101291
min_corr_with_others,0.017433363687904817,0.006009890873735336,0.012246259078120172
early_div,0.015431645303535675,0.001727344380251841,0.011848540711854675
mean_corr_with_others,0.014948266867890539,0.006330026098721601,0.017264945875521923
gap_ratio,0.014852936016072465,0.014855332584311595,0.012030612427984942
div_sign_cons,0.01421785686080026,0.0009588222077453792,0.011495376313451426
div_growth_ratio,0.014114368704672755,0.015097822125911915,0.012151093240938335
rank_in_experiment,0.004288374972156479,0.000987735236496725,0.0048635728731503715
