label,precision,recall,f1,tp,fp,fn,tn
R1a: mean_abs_div >= 20.57,0.5555555555555556,0.8333333333333334,0.6666666666666667,5,4,1,590
R1b: slope_dev >= 0.4791,0.3333333333333333,1.0,0.5,6,12,0,582
R1c: val_rmse_zscore >= 1.8967,0.21739130434782608,0.8333333333333334,0.3448275862068966,5,18,1,576
R1d: mean_abs_div OR slope_dev,0.3333333333333333,1.0,0.5,6,12,0,582
Baseline: val_rmse >= 46.15,0.4166666666666667,0.8333333333333334,0.5555555555555556,5,7,1,587
R2a: mono_rate <= 0.0658,0.5125,0.8367346938775511,0.6356589147286822,41,39,8,512
R2b: val_rmse <= 9.39,0.7358490566037735,0.7959183673469388,0.7647058823529412,39,14,10,537
R2c: max_jump <= 4.53,0.40425531914893614,0.7755102040816326,0.5314685314685315,38,56,11,495
R2d: low mono_rate AND low val_rmse,0.7555555555555555,0.6938775510204082,0.723404255319149,34,11,15,540
R2e: low mono_rate OR low val_rmse,0.5227272727272727,0.9387755102040817,0.6715328467153285,46,42,3,509
Combined: Type1-rule OR Type2-rule,0.4845360824742268,0.8545454545454545,0.6184210526315789,47,50,8,495
"Naive: val_rmse outside [5.4, 45.8]",0.5882352941176471,0.18181818181818182,0.2777777777777778,10,7,45,538
