experiment,model,otype,param_max_depth,param_min_samples_split,param_max_features,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_C,param_epsilon,param_units,param_dropout,param_l2_reg,param_lr,param_filters,param_kernel_size,param_num_heads,param_d_model,param_num_layers
Exp_001,RF,Inlier,15,30,0.6,,,,,,,,,,,,,,,,
Exp_001,XGB,Inlier,6,,,0.005,0.8,0.7,1.0,10.0,,,,,,,,,,,
Exp_001,SVR,Inlier,,,,,,,,,80.0,2.0,,,,,,,,,
Exp_001,LSTM,Inlier,,,,,,,,,,,32,0.1,0.02,0.001,,,,,
Exp_001,CNN,Inlier,,,,,,,,,,,,0.1,0.02,,32,5,,,
Exp_001,Transformer,Inlier,,,,,,,,,,,,0.1,,0.001,,,2,48,1
Exp_002,RF,Inlier,6,40,0.7,,,,,,,,,,,,,,,,
Exp_002,XGB,Inlier,5,,,0.02,0.7,0.9,2.0,5.0,,,,,,,,,,,
Exp_002,SVR,Inlier,,,,,,,,,30.0,1.5,,,,,,,,,
Exp_002,LSTM,Inlier,,,,,,,,,,,16,0.4,0.01,0.001,,,,,
Exp_002,CNN,Inlier,,,,,,,,,,,,0.2,0.02,,16,7,,,
Exp_002,Transformer,Inlier,,,,,,,,,,,,0.3,,0.002,,,2,24,1
Exp_003,RF,Inlier,12,40,0.6,,,,,,,,,,,,,,,,
Exp_003,XGB,Inlier,6,,,0.02,0.9,0.6,1.0,5.0,,,,,,,,,,,
Exp_003,SVR,Inlier,,,,,,,,,30.0,2.0,,,,,,,,,
Exp_003,LSTM,Inlier,,,,,,,,,,,32,0.2,0.02,0.001,,,,,
Exp_003,CNN,Inlier,,,,,,,,,,,,0.4,0.001,,16,5,,,
Exp_003,Transformer,Inlier,,,,,,,,,,,,0.1,,0.002,,,2,16,2
Exp_004,RF,Inlier,15,30,0.6,,,,,,,,,,,,,,,,
Exp_004,XGB,Inlier,3,,,0.015,0.8,0.7,1.0,3.0,,,,,,,,,,,
Exp_004,SVR,Inlier,,,,,,,,,10.0,1.0,,,,,,,,,
Exp_004,LSTM,Inlier,,,,,,,,,,,48,0.5,0.005,0.002,,,,,
Exp_004,CNN,Inlier,,,,,,,,,,,,0.4,0.005,,64,5,,,
Exp_004,Transformer,Inlier,,,,,,,,,,,,0.2,,0.0005,,,4,48,2
Exp_005,RF,Inlier,12,20,0.6,,,,,,,,,,,,,,,,
Exp_005,XGB,Inlier,5,,,0.01,0.8,0.6,5.0,1.0,,,,,,,,,,,
Exp_005,SVR,Inlier,,,,,,,,,30.0,2.0,,,,,,,,,
Exp_005,LSTM,Inlier,,,,,,,,,,,32,0.3,0.01,0.001,,,,,
Exp_005,CNN,Inlier,,,,,,,,,,,,0.1,0.001,,16,3,,,
